StartIndex	EndIndex	GO:ID	ConceptName	PreferredName	CUID
0	22	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
431	446	GO:0010467	gene expression	Gene Expression	C0017262
512	559	GO:0007567	parturition	Birth	C0005615
512	559	GO:0000003	reproduction	Reproduction	C0035150
561	609	GO:0060349	bone morphogenesis		C2610491
688	728	GO:0007567	parturition	Birth	C0005615
688	728	GO:0000003	reproduction	Reproduction	C0035150
790	800	GO:0005694	chromosome	Chromosomes	C0008633
840	875	GO:0016458	gene silencing	Gene Silencing	C0598496
973	980	GO:0042603	capsule	Microbial anatomical capsule structure	C1325531
1015	1049	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
1059	1070	GO:0032502	development	Biologic Development	C0678723
1124	1146	GO:0009790	embryo development	Embryonic Development	C0013936
1246	1271	GO:0009790	embryo development	Embryonic Development	C0013936
1276	1290	GO:0007567	parturition	Birth	C0005615
1305	1316	GO:0032502	development	Biologic Development	C0678723
1333	1370	GO:0007567	parturition	Birth	C0005615
1333	1370	GO:0000003	reproduction	Reproduction	C0035150
1548	1605	GO:0007567	parturition	Birth	C0005615
1670	1687	GO:0007567	parturition	Birth	C0005615
1670	1687	GO:0000003	reproduction	Reproduction	C0035150
1710	1732	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
1764	1775	GO:0032502	development	Biologic Development	C0678723
1866	1878	GO:0007567	parturition	Birth	C0005615
1879	1938	GO:0007567	parturition	Birth	C0005615
1916	1938	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
2876	2891	GO:0009058	anabolism	Anabolism	C0220781
2892	2920	GO:0009790	embryo development	Embryonic Development	C0013936
2942	2946	GO:0005623	cell	Cells	C0007634
3031	3052	GO:0097194	apoptosis	Apoptosis	C0162638
3148	3152	GO:0005623	cell	Cells	C0007634
3188	3192	GO:0005623	cell	Cells	C0007634
3327	3331	GO:0005623	cell	Cells	C0007634
3473	3498	GO:0032502	development	Biologic Development	C0678723
3568	3598	GO:0007165	signal transduction	Signal Transduction	C0037083
3604	3654	GO:0009058	anabolism	Anabolism	C0220781
3860	3954	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
4034	4060	GO:0007567	parturition	Birth	C0005615
4034	4060	GO:0000003	reproduction	Reproduction	C0035150
4279	4332	GO:0009058	anabolism	Anabolism	C0220781
4361	4390	GO:0007567	parturition	Birth	C0005615
4361	4390	GO:0000003	reproduction	Reproduction	C0035150
4402	4421	GO:0009058	anabolism	Anabolism	C0220781
4496	4537	GO:0009058	anabolism	Anabolism	C0220781
4620	4646	GO:0009790	embryo development	Embryonic Development	C0013936
4675	4704	GO:0009058	anabolism	Anabolism	C0220781
4772	4800	GO:0007165	signal transduction	Signal Transduction	C0037083
4801	4842	GO:0032502	development	Biologic Development	C0678723
4899	4923	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
5016	5027	GO:0032502	development	Biologic Development	C0678723
5185	5189	GO:0005488	binding	Binding 	C1167622
5190	5224	GO:0030964	NADH dehydrogenase complex location		C2245017
5229	5289	GO:0016021	integral to membrane		C1167322
5229	5289	GO:0044214	transmembrane	fully spanning the plasma membrane	C2752508
5295	5306	GO:0036122	BMP binding		C3271616
5392	5405	GO:0006351	transcription	Transcription, Genetic	C0040649
5563	5567	GO:0005488	binding	Binding 	C1167622
5813	5824	GO:0032502	development	Biologic Development	C0678723
6031	6035	GO:0007601	vision	Vision	C0042789
6089	6093	GO:0005623	cell	Cells	C0007634
6252	6285	GO:0007567	parturition	Birth	C0005615
6252	6285	GO:0000003	reproduction	Reproduction	C0035150
6331	6346	GO:0009058	anabolism	Anabolism	C0220781
6375	6387	GO:0007601	vision	Vision	C0042789
6493	6519	GO:0009790	embryo development	Embryonic Development	C0013936
6536	6548	GO:0007369	gastrulation	Gastrulation	C0259902
6566	6578	GO:0007601	vision	Vision	C0042789
6733	6744	GO:0032502	development	Biologic Development	C0678723
6781	6796	GO:0009058	anabolism	Anabolism	C0220781
6839	6870	GO:0007567	parturition	Birth	C0005615
6839	6870	GO:0000003	reproduction	Reproduction	C0035150
6874	6922	GO:0007567	parturition	Birth	C0005615
6874	6922	GO:0000003	reproduction	Reproduction	C0035150
6932	6990	GO:0009058	anabolism	Anabolism	C0220781
7021	7089	GO:0010467	gene expression	Gene Expression	C0017262
7193	7209	GO:0007567	parturition	Birth	C0005615
7193	7209	GO:0000003	reproduction	Reproduction	C0035150
7260	7286	GO:0007567	parturition	Birth	C0005615
7260	7286	GO:0000003	reproduction	Reproduction	C0035150
7287	7341	GO:0032502	development	Biologic Development	C0678723
7379	7386	GO:0042603	capsule	Microbial anatomical capsule structure	C1325531
7401	7409	GO:0016020	membrane	Membrane	C0596901
7440	7462	GO:0006310	DNA recombination	Recombination, Genetic	C0034865
7472	7519	GO:0009790	embryo development	Embryonic Development	C0013936
7563	7597	GO:0009058	anabolism	Anabolism	C0220781
7616	7659	GO:0097194	apoptosis	Apoptosis	C0162638
7951	7963	GO:0007567	parturition	Birth	C0005615
8090	8108	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
8182	8226	GO:0030509	BMP receptor signaling pathway	BMP Receptor Signaling Pathway	C1155364
8282	8308	GO:0007567	parturition	Birth	C0005615
